Lat,Long,Elevation,Prom,Name,Lat_dec,Long_dec,Icon
38°16'42",75°06'57",7509,2698,Muztagh Ata,38.27833,75.11583,
-8°14'48",117°57'30",2722,2722,Gunung Tambora,-8.24666,117.95833,
-3°18'00",126°13'12",2700,2700,Gunung Kapalatmada,-3.30000,126.22000,
37°09'45",72°28'54",6723,2693,Pik Karla Marxsa,37.16250,72.48166,
41°03'33",77°41'00",5982,2671,Pik Dankova,41.05916,77.68333,
31°06'24",102°54'06",6250,2571,Yaomei Feng,31.10666,102.90166,
30°57'06",51°26'15",4409,2604,Kuh-e Dinar,30.95166,51.43750,
41°59'36",128°04'39",2744,2593,Paektu-san,41.99333,128.07750,
7°26'42",126°13'36",2670,2580,Mt. Tagubud,7.44500,126.22666,
13°15'45",120°59'42",2582,2582,Mt. Halcon,13.26250,120.99500,
43°34'45",85°07'09",5248,1871,Borgora,43.57916,85.11916,
35°38'32",76°18'24",7821,2457,Masherbrum,35.64222,76.30666,
36°43'48",73°14'24",6872,2562,Koyo Zom,36.73000,73.24000,
-7°23'06",110°04'21",3320,2577,Gunung Sumbing,-7.38500,110.07250,
0°34'39",120°12'18",3030,2713,Fuyul Sojol,0.57750,120.20500,
36°19'33",75°11'18",7885,2525,Disteghil Sar I,36.32583,75.18833,
38°30'00",97°43'30",5808,2231,Kangze'gyai,38.50000,97.72500,
7°00'03",80°46'24",2524,2524,Pidurutalagala,7.00083,80.77333,
39°15'03",93°41'48",5830,2528,Altun Shan,39.25083,93.69666,
37°29'09",44°00'18",4136,2483,Uludoruk Tepe,37.48583,44.00500,
10°10'12",77°03'39",2694,2479,Anai Mudi,10.17000,77.06083,
38°05'36",71°05'42",5326,2471,Kuh-e Safed Khers HP,38.09333,71.09500,
26°08'57",102°54'48",4330,2470,Hung-Wang Shan HP ,26.14916,102.91333,
13°15'21",123°41'09",2462,2447,Mayon Volcano,13.25583,123.68583,
41°13'18",47°51'30",4466,2454,Gora Bazardyuzi,41.22166,47.85833,
36°46'42",71°27'06",5467,2442,Kuh-e Chuk Shakh,36.77833,71.45166,
-4°00'57",103°07'42",3159,2446,Gunung Dempo,-4.01583,103.12833,
8°07'02",124°55'25",2938,2440,Mt. Katanglad,8.11722,124.92361,
28°30'35",33°57'19",2629,2404,Jebel Katarina,28.50972,33.95527,
28°32'00",84°07'18",7937,2437,Annapurna II,28.53333,84.12166,
36°36'42",75°04'49",6977,2240,Karun Kuh,36.61166,75.08027,
-7°27'18",110°26'24",3145,2432,Gunung Merbabu,-7.45500,110.44000,
10°24'36",123°07'48",2430,2430,Canlaon Mtn.,10.41000,123.13000,
-6°46'09",106°57'54",3019,2426,Pangrango,-6.76916,106.96500,
38°32'06",35°27'03",3917,2419,Erciyes Dagi,38.53500,35.45083,
28°04'33",60°00'39",3503,2400,Kuh-e Zendan,28.07583,60.01083,
34°18'03",36°07'00",3087,2392,Qornet es Saouda,34.30083,36.11666,
27°53'24",87°05'18",8485,2378,Makalu,27.89000,87.08833,
28°45'45",83°23'21",7751,2396,Dhaulagiri II,28.76250,83.38916,
38°30'36",72°21'15",6940,2397,Qullai Istiqlol,38.51000,72.35416,
-8°39'06",120°26'54",2370,2370,Poco Mandasawu,-8.65166,120.44833,
29°09'57",96°43'27",6882,2444,Bairiga,29.16583,96.72416,
28°23'33",85°07'48",7422,2352,Yangra Kangri,28.39250,85.13000,
27°49'27",89°16'09",7090,2105,Chomolhari,27.82416,89.26916,
39°27'18",73°34'00",6610,2352,Gora Khurumdy,39.45500,73.56666,
42°41'57",44°31'06",5034,2353,Gora Kazbek,42.69916,44.51833,
37°47'49",35°09'20",3756,2336,Demirkazik Tepe,37.79694,35.15555,
28°05'39",86°39'39",8188,2340,Cho Oyu,28.09416,86.66083,
36°31'18",80°18'54",5470,2337,Tekilik Shan,36.52166,80.31500,
0°04'45",99°59'03",2912,2324,Talakmau,0.07916,99.98416,
34°51'54",77°45'09",7672,2304,Saser Kangri I,34.86500,77.75250,
33°58'48",76°01'18",7135,2404,Nun,33.98000,76.02166,
34°02'18",69°54'09",4755,2297,Sikaram Sar,34.03833,69.90250,
39°14'09",71°54'39",5900,2295,Pik Sat,39.23583,71.91083,
36°17'21",137°38'53",3190,2307,Hotaka-dake,36.28916,137.64805,
8°13'03",123°38'12",2404,2290,Mt. Malindang,8.21750,123.63666,
43°39'49",142°51'15",2290,2290,Asahi-dake,43.66361,142.85416,
40°50'11",41°09'39",3932,2272,Kackar Dagi,40.83638,41.16083,
31°36'21",54°04'06",4050,2271,Shir Kuh,31.60583,54.06833,
35°50'24",74°53'51",7406,2286,Haramosh,35.84000,74.89750,
31°26'24",110°18'27",3100,2270,Dashennongjia,31.44000,110.30750,
28°26'18",98°41'00",6740,2232,Kawagebo,28.43833,98.68333,
39°11'56",68°11'43",5489,2265,Gora Chimtarga,39.19888,68.19527,
-1°17'57",121°32'33",2870,2258,Bulu Kandela,-1.29916,121.54250,
30°22'15",90°35'09",7162,2239,Nyainqêntanglha Feng,30.37083,90.58583,
33°57'18",107°45'48",3750,2232,Taibai Shan,33.95500,107.76333,
35°40'27",138°14'12",3192,2239,Kita-dake,35.67416,138.23666,
-3°39'54",121°14'09",2650,2220,Gunung Mekongga,-3.66500,121.23583,
28°43'45",102°22'45",4750,2223,Huatou Jian,28.72916,102.37916,
-3°52'15",135°52'15",3750,2217,Pegunungan Kobowre,-3.87083,135.87083,
15°04'09",107°58'30",2598,2208,Ngoc Linh,15.06916,107.97500,
32°48'30",81°00'03",6720,1772,Nganglong Kangri,32.80833,81.00083,
27°51'54",92°31'57",7060,2195,Kangtö,27.86500,92.53250,
42°30'21",74°34'51",4895,2231,Pik Semionova Tien-Shanskogo ,42.50583,74.58083,
36°00'06",74°52'33",7453,2193,Malubiting West,36.00166,74.87583,
38°55'54",42°50'03",4058,2189,Süphan Dagi,38.93166,42.83416,
28°56'54",90°10'42",7206,2160,Norin Kang,28.94833,90.17833,
30°54'15",93°47'15",6980,2237,Sepu Kangri,30.90416,93.78750,
32°25'03",77°04'15",6200,2223,Shikar Beh,32.41750,77.07083,
35°43'33",76°41'42",8080,2155,Gasherbrum I ,35.72583,76.69500,
35°24'18",76°50'51",7742,2160,Saltoro Kangri I,35.40500,76.84750,
37°08'45",73°12'54",6286,2008,Kuh-e Belandtarin,37.14583,73.21500,
32°40'33",103°50'48",5588,2057,Xuebao Ding,32.67583,103.84666,
21°14'00",93°54'12",3070,2148,Mt. Victoria,21.23333,93.90333,
38°25'27",73°18'09",6233,1982,Soviet Officers Peak,38.42416,73.30250,
40°31'22",44°11'45",4090,2143,Aragats Lerrnagagat,40.52277,44.19583,
-2°44'54",119°22'06",3074,2141,Tanete Gandangdewata,-2.74833,119.36833,
4°37'57",102°14'03",2187,2141,Gunung Tahan,4.63250,102.23416,
36°35'24",73°20'30",6518,2133,Ghamubar Zom,36.59000,73.34166,
42°34'27",45°18'54",4493,2145,Tebulosmta,42.57416,45.31500,
-7°48'50",111°45'36",2563,2131,Gunung Liman,-7.81388,111.76000,
11°23'21",122°09'42",2117,2117,Mt. Madiac,11.38916,122.16166,
34°38'36",67°37'30",5060,2123,Shah Fuladi,34.64333,67.62500,
-0°44'12",127°31'27",2111,2111,Buku Sibela,-0.73666,127.52416,
28°33'18",84°56'40",7165,2061,Chamar ,28.55500,84.94444,
29°56'57",102°03'00",6070,2093,Lamo-She,29.94916,102.05000,
-0°22'48",100°28'27",2891,2116,Gunung Marapi,-0.38000,100.47416,
-7°19'21",107°51'36",2820,2103,Gunung Cikuray,-7.32250,107.86000,
38°50'00",105°57'00",3540,2098,Helan Shan HP,38.83333,105.95000,
39°37'10",70°43'08",5621,2095,Pik Skalistiy,39.61944,70.71888,
32°21'54",50°04'39",4200,2095,Zard Kuh,32.36500,50.07750,
32°05'21",77°44'00",6633,2093,Parvati Parvat,32.08916,77.73333,
43°22'54",93°21'21",4320,2104,Barkol Shan,43.38166,93.35583,
27°53'12",56°20'51",3240,2082,Kuh-e Fareghan,27.88666,56.34750,
27°25'54",55°08'03",2681,2100,Kuh-e Shab,27.43166,55.13416,
11°24'09",76°44'15",2636,2256,Doddabetta,11.40250,76.73750,
8°49'06",117°40'30",2085,2085,Mt. Mantaling,8.81833,117.67500,
33°43'24",78°31'42",6725,2149,Kangju Kangri,33.72333,78.52833,
18°58'51",103°09'06",2830,2079,Phou Bia,18.98083,103.15166,
12°24'21",108°25'27",2420,2055,Chu Yang Sin,12.40583,108.42416,
37°23'34",34°37'48",3524,2058,Medetsiz Tepe,37.39277,34.63000,
24°06'42",99°38'24",3500,2041,Daxue Shan,24.11166,99.64000,
-8°38'30",126°35'45",2372,2028,Gunung Matebeanfeto,-8.64166,126.59583,
12°25'00",122°34'09",2050,2050,Sibuyan Island HP,12.41666,122.56916,
30°00'24",80°55'45",7132,2040,Api,30.00666,80.92916,
27°57'12",88°50'33",7107,2014,Pauhunri,27.95333,88.84250,
27°34'39",88°12'57",6691,1762,Pandim,27.57750,88.21583,
37°54'48",87°23'21",6245,2028,Sulamutag Feng,37.91333,87.38916,
43°03'09",43°08'06",5205,2002,Gora DykhTau,43.05250,43.13500,
-1°03'57",122°11'30",2565,2054,Gunung Tumpu,-1.06583,122.19166,
4°02'45",114°55'48",2376,2024,Gunung Mulu,4.04583,114.93000,
27°25'33",56°10'21",2350,2035,Kuh-e Genu,27.42583,56.17250,
-0°39'33",112°41'18",2300,2018,Bukit Raya,-0.65916,112.68833,
15°28'54",120°07'15",2037,2015,High Peak,15.48166,120.12083,
-2°34'15",138°40'27",2230,2007,Pegunungan Gauttier,-2.57083,138.67416,
30°20'33",93°54'54",6842,1520,Pt. 6842,30.34250,93.91500,
30°20'09",130°30'09",1936,1936,Miyanoura-dake,30.33583,130.50250,
4°39'00",101°21'42",2180,1991,Gunong Yong Belar,4.65000,101.36166,
36°25'54",71°49'42",7492,2024,Noshaq,36.43166,71.82833,
28°12'12",87°36'27",6724,1805,Nyönno Ri,28.20333,87.60750,
36°17'18",76°23'18",6792,1995,Surukwat Kangri,36.28833,76.38833,
29°10'51",98°27'36",6324,1759,Damyon,29.18083,98.46000,
-9°33'39",124°13'48",2351,1905,Nuaf Nefomasi,-9.56083,124.23000,
-2°44'00",134°35'03",2180,1985,Pegunungan Wondiwoi,-2.73333,134.58416,
33°46'00",133°06'51",1982,1982,Tengu-dake,33.76666,133.11416,
27°12'48",103°04'39",4050,1996,Yao Shan,27.21333,103.07750,
35°17'42",77°01'18",7428,1978,K12,35.29500,77.02166,
36°32'51",72°07'00",7338,1968,Saraghrar,36.54750,72.11666,
35°25'07",76°33'04",7282,1962,K6,35.41861,76.55111,
36°43'27",84°36'06",6748,1920,Ak Tag,36.72416,84.60166,
37°53'21",72°11'21",6080,1962,Pik Patkhor,37.88916,72.18916,
30°04'12",57°27'57",4229,1970,Kuh-e Palvar,30.07000,57.46583,
26°09'30",103°14'09",4030,1836,Pt. 4030,26.15833,103.23583,
32°26'27",57°22'09",2960,1968,Kuh-e Nay Band,32.44083,57.36916,
27°36'48",56°40'09",2650,1967,Khvoshkuh,27.61333,56.66916,
3°54'18",115°29'18",2423,1967,Gunung Murud,3.90500,115.48833,
36°36'17",30°07'02",3070,1966,Bey Daglari,36.60472,30.11722,
27°51'39",117°47'03",2170,1965,Huanggang Shan,27.86083,117.78416,
29°48'27",99°36'21",6204,2000,Ge'nyen,29.80750,99.60583,
28°18'15",86°21'03",7367,1957,Lapche Kang ,28.30416,86.35083,
33°40'48",74°32'27",4745,1942,Sanset,33.68000,74.54083,
30°29'33",50°53'57",3190,1944,Kuh-e Hami,30.49250,50.89916,
6°21'36",125°04'33",2286,1950,Mt. Matutum,6.36000,125.07583,
3°49'24",102°05'39",2107,1950,Gunung Benum,3.82333,102.09416,
13°39'33",123°22'24",2000,1951,Mt. Isarog,13.65916,123.37333,
33°21'42",126°31'45",1950,1950,Halla-san,33.36166,126.52916,
-8°11'48",119°04'12",1949,1949,Pulau Sangeang,-8.19666,119.07000,
36°24'45",87°23'06",6973,1943,Ulugh Muztagh,36.41250,87.38500,
29°50'00",84°36'48",7095,1941,Lunpo Gangri,29.83333,84.61333,
35°18'57",80°54'57",7167,1946,Liushi Shan,35.31583,80.91583,
34°47'54",99°27'45",6282,1960,Dradullungshog,34.79833,99.46250,
28°48'00",91°57'54",6636,1805,Yarla Shampo,28.80000,91.96500,
38°11'24",88°54'30",6065,1914,Yusupu Aleketag Shan,38.19000,88.90833,
28°54'15",98°23'03",5841,1934,Pt. 5841,28.90416,98.38416,
38°25'30",72°45'36",5735,1940,Gora Radzhi-Bek,38.42500,72.76000,
24°23'00",121°13'48",3884,1930,Hsueh Shan,24.38333,121.23000,
38°07'39",34°10'00",3268,1922,Hasan Dagi,38.12750,34.16666,
21°34'15",104°18'24",2985,1930,Phu Luong,21.57083,104.30666,
31°27'09",100°13'24",5992,2018,Kawarani,31.45250,100.22333,
26°18'48",114°02'12",2140,1921,Nanfengmian,26.31333,114.03666,
14°04'03",121°29'33",2170,1919,Banahaw,14.06750,121.49250,
27°08'42",98°09'06",3677,1914,Hkaru Bum,27.14500,98.15166,
36°01'27",90°51'57",6860,1922,Buka Daban Feng,36.02416,90.86583,
31°53'05",78°44'08",6816,1978,Reo Purgyil,31.88472,78.73555,
32°31'33",78°24'00",6794,1910,Gya,32.52583,78.40000,
36°06'30",76°12'45",7295,1919,Huang Guan Shan,36.10833,76.21250,
28°44'15",84°25'01",7140,1920,Nemjung,28.73750,84.41694,
28°23'48",100°20'57",6032,1878,Xiannairi,28.39666,100.34916,
27°53'39",103°14'12",4041,1904,Daliang Shan HP,27.89416,103.23666,
34°06'12",73°24'27",2981,1911,Miranjani,34.10333,73.40750,
35°58'15",138°22'09",2899,1916,Aka-dake,35.97083,138.36916,
35°56'51",75°45'12",7285,1891,Baintha Brakk I,35.94750,75.75333,
42°02'12",80°30'15",6588,1896,Pt. 6588,42.03666,80.50416,
36°09'15",136°46'12",2702,1897,Haku-san,36.15416,136.77000,
-1°41'03",120°59'54",2590,1881,Pegunungan Pompangeo,-1.68416,120.99833,
-0°39'42",132°53'21",2500,1900,Bon Irau,-0.66166,132.88916,
39°05'57",140°03'03",2236,1891,Chokai-san,39.09916,140.05083,
36°34'45",54°45'51",3890,1881,Kuh-e Shahvar,36.57916,54.76416,
35°32'27",74°52'54",5940,1875,Dofana,35.54083,74.88166,
42°49'36",140°48'41",1898,1878,Yotei-zan,42.82666,140.81138,
42°12'39",80°10'30",7010,1705,Khan Tangiri Shyngy,42.21083,80.17500,
29°22'42",82°38'21",6883,1870,Kanjiroba,29.37833,82.63916,
33°28'54",79°20'12",6260,1879,Bangong,33.48166,79.33666,
36°16'51",59°02'57",3314,1870,Kuh-e Siah Khvani,36.28083,59.04916,
-2°30'24",140°31'30",2000,1876,Pegunungan Cycloop,-2.50666,140.52500,
29°06'54",97°04'39",6327,1863,Yuhe Kangri,29.11500,97.07750,
13°28'00",98°48'18",2072,1857,Myinmoletkat Taung,13.46666,98.80500,
1°27'12",125°01'51",1990,1850,Gunung Klabat,1.45333,125.03083,
31°41'48",85°03'48",6822,1914,Shakangsham,31.69666,85.06333,
29°53'27",81°29'42",7030,1823,Saipal,29.89083,81.49500,
36°43'36",73°53'27",6416,1841,Chiantar Sar,36.72666,73.89083,
28°49'27",98°03'39",6146,1720,Baxoila Ling,28.82416,98.06083,
34°33'22",75°50'08",5608,1851,Pt. 5608,34.55611,75.83555,
36°15'21",69°47'42",5120,1871,Pt. 5120±,36.25583,69.79500,
18°35'18",98°29'15",2576,1846,Doi Inthanon,18.58833,98.48750,
18°53'54",109°42'15",1840,1840,Wuzhi Shan,18.89833,109.70416,
9°05'48",125°42'18",1920,1838,Mt. Hilong-hilong,9.09666,125.70500,
28°09'18",90°03'45",7207,1757,Tongshanjiabu,28.15500,90.06250,
43°26'18",86°05'00",5289,2618,Heyuan Feng,43.43833,86.08333,
41°57'36",46°55'24",4127,1834,Gora Dyul'tydag,41.96000,46.92333,
37°43'51",46°30'00",3707,1826,Kuh-e Sahand,37.73083,46.50000,
34°25'06",47°14'36",3360,1833,Kuh-e Parau,34.41833,47.24333,
33°32'00",57°13'39",2920,1830,Eshdeger Range HP,33.53333,57.22750,
36°22'33",50°57'45",4805,1827,Alam Kuh,36.37583,50.96250,
2°46'51",125°24'24",1827,1827,Karangetang,2.78083,125.40666,
22°38'33",98°04'27",2673,1823,Loi Leng,22.64250,98.07416,
39°09'33",46°00'21",3905,1820,Kaputzhukh Lerr,39.15916,46.00583,
35°08'27",77°34'39",7516,1803,Mamostong Kangri,35.14083,77.57750,
36°26'12",72°51'39",6320,1815,Shah Dok,36.43666,72.86083,
42°20'18",46°15'06",4152,1812,Gora Addala Shukgelmezr,42.33833,46.25166,
31°40'57",69°56'15",3441,1813,Obasta Tsukai,31.68250,69.93750,
28°49'42",65°11'42",3003,1797,Ras Koh,28.82833,65.19500,
33°24'48",35°51'24",2814,1804,Mt. Hermon,33.41333,35.85666,
8°35'54",125°05'54",2480,1803,Mt. Mangabon,8.59833,125.09833,
2°55'06",98°25'24",2457,1802,Gunung Sibuatan,2.91833,98.42333,
-8°13'15",125°01'15",1821,1821,Dola Koyakoya,-8.22083,125.02083,
25°58'37",56°13'54",2087,1747,Jebel al Harim,25.97694,56.23166,
37°45'18",44°19'12",3800,1805,Mor Dagi,37.75500,44.32000,
4°15'06",97°25'15",3079,1805,Bukit Mugajah,4.25166,97.42083,
33°13'12",60°14'51",2887,1657,Kuh-e Mirza 'Arab,33.22000,60.24750,
-2°42'39",115°37'33",1892,1792,Gunung Besar,-2.71083,115.62583,
30°41'06",79°42'21",6727,1673,Hathi Parbat,30.68500,79.70583,
36°38'54",72°49'42",6050,1821,Shayaz Zom,36.64833,72.82833,
27°19'06",100°06'00",5396,1795,Haba Xueshan,27.31833,100.10000,
42°32'36",85°20'39",4810,1807,Pt. 4810±,42.54333,85.34416,
27°34'36",100°18'39",4520,1787,Pt. 4520±,27.57666,100.31083,
33°20'21",49°18'12",4139,1986,Oshtoran Kuh,33.33916,49.30333,
33°57'33",48°28'54",3630,1780,Kuh-e Garin,33.95916,48.48166,
36°33'06",45°00'18",3587,1767,Kuhe Haji Ebrahim,36.55166,45.00500,
-2°30'09",101°51'30",2933,1791,Gunung Masurai,-2.50250,101.85833,
1°03'42",120°56'06",2260,1801,Bukii Dako,1.06166,120.93500,
33°04'54",131°14'24",1791,1791,Kuju-san,33.08166,131.24000,
23°58'30",110°05'51",1979,1829,Shengtang Shan,23.97500,110.09750,
39°04'45",113°34'00",3061,1784,Beitai Ding,39.07916,113.56666,
30°08'03",118°09'51",1864,1734,Lian Hua Feng,30.13416,118.16416,
37°44'03",71°25'18",5120,1777,Pt. 5120±,37.73416,71.42166,
35°55'48",71°04'48",6290,1758,Kuh-e Shashgal,35.93000,71.08000,
42°40'33",44°45'27",4451,1775,Gora Shan,42.67583,44.75750,
-7°18'09",109°59'45",3150,1760,Gunung Sendoro,-7.30250,109.99583,
36°31'42",29°11'06",1969,1763,Babadag,36.52833,29.18500,
-8°34'48",117°07'18",1840,1773,Olet Sangenges,-8.58000,117.12166,
27°52'54",108°40'54",2570,1762,Fenghuang Shan,27.88166,108.68166,
36°58'24",59°21'24",3120,1760,Kuhha-ye Hezar Masjed,36.97333,59.35666,
36°12'18",75°25'06",7760,1660,Kanjut Sar I,36.20500,75.41833,
35°49'43",76°21'41",7276,1710,Muztagh Tower,35.82861,76.36138,
27°56'12",92°40'00",6983,1688,Nyegyi Kansang,27.93666,92.66666,
35°46'51",72°16'58",6050,1799,Thalo Zom,35.78083,72.28277,
29°19'21",94°44'57",5980,1747,Pt. 5980,29.32250,94.74916,
27°33'00",102°21'18",4300,1757,Baibaidin Shan,27.55000,102.35500,
28°49'03",56°24'48",3856,1758,Kuh-e Khabr,28.81750,56.41333,
-3°30'24",136°25'21",3640,1740,Undundi-Wandandi,-3.50666,136.42250,
26°44'06",100°27'42",3480,1750,Pt. 3480,26.73500,100.46166,
22°37'33",102°47'15",3076,1750,Phu Si Lung,22.62583,102.78750,
39°51'12",141°00'03",2038,1745,Iwate-san,39.85333,141.00083,
0°39'51",127°24'06",1750,1750,Pulau Tidore,0.66416,127.40166,
39°40'24",54°32'36",1880,1748,Uly Balkan Gershi,39.67333,54.54333,
12°01'57",104°10'15",1810,1741,Phnum Aoral,12.03250,104.17083,
40°02'21",74°49'48",5324,1737,Koktutau,40.03916,74.83000,
25°30'51",111°19'45",2010,1735,Jiucai Ling,25.51416,111.32916,
36°12'18",75°12'27",7852,1765,Kunyang Chhish I,36.20500,75.20750,
30°12'30",102°19'54",5412,1728,Dapin Shan,30.20833,102.33166,
33°37'18",67°02'51",4803,1734,Shah Tus Aqa Ghar,33.62166,67.04750,
26°28'48",99°29'51",4295,1765,Xuebang Shan,26.48000,99.49750,
37°18'30",44°15'09",3811,1729,Samdi Dag,37.30833,44.25250,
26°08'27",101°10'51",3680,1738,Dabaicao Ling,26.14083,101.18083,
32°06'51",54°35'05",3150,1732,Kuh-e Kharanaq,32.11416,54.58472,
25°29'39",94°45'06",3088,1737,Mol Len,25.49416,94.75166,
35°47'22",137°48'16",2956,1751,Kisokoma-ga-take,35.78944,137.80444,
-0°23'24",100°19'51",2877,1727,Gunung Singgalang,-0.39000,100.33083,
-1°12'15",121°48'12",2403,1757,Buyu Lumut,-1.20416,121.80333,
27°27'18",114°10'24",1920,1722,Wugong Shan,27.45500,114.17333,
34°10'27",135°54'24",1915,1732,Hakken-san,34.17416,135.90666,
37°23'18",87°36'24",6130,1728,Ayaligtag Range ,37.38833,87.60666,
18°48'36",97°02'15",2623,1726,Nattaung,18.81000,97.03750,
41°24'39",72°54'42",4427,1718,Gora Babash-Ata,41.41083,72.91166,
8°29'39",99°43'48",1780,1715,Khao Luang,8.49416,99.73000,
0°48'33",127°20'00",1715,1715,Pulau Ternate,0.80916,127.33333,
34°59'51",46°28'21",3350,1714,Kuh-e Shahu,34.99750,46.47250,
35°48'42",76°33'54",8051,1701,Broad Peak,35.81166,76.56500,
35°34'45",77°04'39",7464,1714,Teram Kangri I,35.57916,77.07750,
27°57'51",86°20'06",7135,1589,Gauri Shankar,27.96416,86.33500,
29°45'57",82°45'06",6859,1702,Kubi Gangri,29.76583,82.75166,
36°13'00",82°02'09",6691,1660,Selik Gulam Muztag,36.21666,82.03583,
31°27'09",103°23'57",5300,1694,Jiankho Shan,31.45250,103.39916,
38°07'33",70°20'24",4573,1704,Gora Imeni Fuchika,38.12583,70.34000,
23°57'27",100°15'39",3420,1718,Hunhua Shan,23.95750,100.26083,
36°30'12",56°57'42",2950,1710,Kuh-e Gar,36.50333,56.96166,
23°08'18",57°00'51",2730,1718,Jebel Kawr,23.13833,57.01416,
5°02'39",95°38'00",2310,1720,Gle Hulumasen,5.04416,95.63333,
17°12'09",98°04'48",2080,1707,Mela Taung,17.20250,98.08000,
-6°16'09",106°03'00",1778,1703,Gunung Karang,-6.26916,106.05000,
35°20'13",127°43'50",1915,1696,Chiri-san,35.33694,127.73055,
33°17'45",79°46'00",6223,1672,Gyoinmaixoi'og Kangri,33.29583,79.76666,
31°21'09",78°36'36",6684,1668,Rangrik Rang,31.35250,78.61000,
29°56'28",95°44'45",6135,1634,Pt. 6135,29.94111,95.74583,
34°54'14",75°50'00",5700,1582,Pt. 5700,34.90388,75.83333,
29°02'51",94°00'51",5641,1681,Pt. 5641,29.04750,94.01416,
28°35'57",98°30'09",4911,1689,Pt. 4911,28.59916,98.50250,
43°38'57",93°55'12",3970,1700,Dahei Shan,43.64916,93.92000,
33°27'21",51°48'00",3870,1698,Kuh-e Karkas,33.45583,51.80000,
27°33'15",93°19'48",3776,1684,Dafla Range HP,27.55416,93.33000,
43°19'06",80°48'06",3730,1718,Khrebet Temerliktau HP,43.31833,80.80166,
32°07'27",49°59'42",3480,1688,Kuh-e Mafarun,32.12416,49.99500,
35°53'36",137°28'45",3067,1712,Ontake-san,35.89333,137.47916,
5°33'09",116°30'57",2643,1703,Gunung Trusmadi,5.55250,116.51583,
33°45'18",59°51'30",2888,1686,Mila Kuh,33.75500,59.85833,
-3°54'57",133°00'39",1680,1636,Pegunungan Kumawa,-3.91583,133.01083,
36°27'03",76°51'54",6542,1674,Mazar Shan,36.45083,76.86500,
42°02'11",78°54'28",5281,1673,Khrebet Kuylyutau,42.03638,78.90777,
36°46'33",72°26'24",6902,1667,Lunkho e Dosare,36.77583,72.44000,
32°32'45",77°24'42",6517,1586,Mulkila,32.54583,77.41166,
37°33'45",75°09'42",6361,1676,Lyavirdyr,37.56250,75.16166,
30°35'15",102°10'06",5734,1685,Jiaojin Shan,30.58750,102.16833,
39°26'54",71°05'00",5544,1677,Pik Tandykul,39.44833,71.08333,
28°59'43",82°23'44",5425,1661,Bhalu Lek,28.99527,82.39555,
29°21'12",81°33'12",4389,1675,Deora,29.35333,81.55333,
34°39'51",48°29'12",3570,1654,Kuh-e Alvand,34.66416,48.48666,
36°32'39",29°34'05",3016,1664,Uyluk Tepe,36.54416,29.56805,
-7°57'18",112°27'54",2868,1675,Gunung Butak,-7.95500,112.46500,
22°10'06",103°35'21",2540,1670,Phu Tra,22.16833,103.58916,
-1°25'33",119°51'24",2463,1651,Bulu Torompupu,-1.42583,119.85666,
-6°42'57",106°44'00",2211,1678,Gunung Salak,-6.71583,106.73333,
17°43'51",101°00'27",2120,1664,Phu Soai Dao,17.73083,101.00750,
-8°20'45",123°15'24",1661,1661,Ili Boleng,-8.34583,123.25666,
30°08'10",82°11'54",6721,1657,Changla,30.13611,82.19833,
1°00'09",109°56'00",1701,1661,Gunung Niut,1.00250,109.93333,
31°47'12",99°04'24",6168,1703,Chola Shan I,31.78666,99.07333,
37°40'02",31°18'10",2980,1651,Dedegol Tepesi,37.66722,31.30277,
28°13'39",90°37'00",7538,1654,Kula Kangri,28.22750,90.61666,
39°03'27",72°00'30",7105,1625,Pik Yevgenii Korzhinievskoi,39.05750,72.00833,
28°21'48",91°08'09",6777,1697,Tarlha Ri,28.36333,91.13583,
33°13'51",79°11'00",6300,1660,Pt. 6300,33.23083,79.18333,
35°39'09",94°15'03",6224,1674,Sob Gangri,35.65250,94.25083,
29°23'54",94°54'03",5840,1512,Pt. 5840±,29.39833,94.90083,
42°21'06",80°37'39",5716,1647,Pt. 5716,42.35166,80.62750,
32°21'24",104°50'45",3030,1656,Pt. 3030,32.35666,104.84583,
3°44'57",97°46'54",3012,1644,Gunung Bandahara,3.74916,97.78166,
25°21'24",93°53'57",2832,1659,Laikot,25.35666,93.89916,
26°29'27",95°50'45",2692,1655,Sangpang Bum,26.49083,95.84583,
24°33'15",38°12'54",2300,1709,Jebel Jar,24.55416,38.21500,
-8°52'42",120°57'15",2245,1643,Gunung Inerie,-8.87833,120.95416,
6°06'33",124°41'09",2030,1661,Mt. Busa,6.10916,124.68583,
28°45'48",87°37'54",6495,1718,Tsanglha Ri,28.76333,87.63166,
25°52'00",110°24'45",2140,1647,Miao'er Shan,25.86666,110.41250,
19°19'27",101°14'30",2079,1646,Phou Khe,19.32416,101.24166,
-8°32'42",123°23'03",1644,1644,Ili Labalekang,-8.54500,123.38416,
31°03'42",116°11'15",1760,1642,Tianzhu Shan,31.06166,116.18750,
35°10'12",77°49'48",6934,1704,Shahi Kangri,35.17000,77.83000,
36°02'51",80°07'09",6638,1631,Mush Muztagh,36.04750,80.11916,
30°14'12",110°34'36",2300,1635,Pt. 2300,30.23666,110.57666,
35°36'51",76°34'45",7668,1624,Chogolisa I,35.61416,76.57916,
30°18'46",79°46'38",7120,1616,Trisul,30.31277,79.77722,
36°31'02",71°55'15",7108,1624,Udren Zom,36.51722,71.92083,
28°37'42",84°40'54",6620,1622,Pangpoche I,28.62833,84.68166,
